Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
10;28;Petter Fryksen Lund;;M;;;SS5;Menn senior;16:37;;;;OK
11;16;Fredrik Smith;;M;;;SS5;Menn senior;16:41;;;;OK
12;3;Christian Coll;;M;;;SS5;Menn senior;17:09;;;;OK
13;35;Joachim Venberget;;M;;;SS5;Menn senior;17:43;;;;OK
14;34;Jonas Olsson;;M;;;SS5;Menn senior;17:44;;;;OK
15;14;Geir Ottar Kvernstuen;;M;;;SS5;Menn senior;17:44;;;;OK
16;10;Simen Scharning;;M;;;SS5;Menn senior;17:52;;;;OK
17;26;Christian Hadler;;M;;;SS5;Menn senior;18:09;;;;OK
18;12;Petter Hofsund Christiansen;;M;;;SS5;Menn senior;18:20;;;;OK
19;32;Petter Salen;;M;;;SS5;Menn senior;18:54;;;;OK
20;23;Thomas Fleischer Wathne;;M;;;SS5;Menn senior;19:32;;;;OK
21;31;Espen Sandengen;;M;;;SS5;Menn senior;20:43;;;;OK
22;9;Gaute Havik;;M;;;SS5;Menn senior;25:40;;;;OK
23;18;Peter Lomsdalen;;M;;;SS5;Menn senior;0;;;;DNF
24;5;Stian August Helletun Skarsten;;M;;;SS5;Menn senior;0;;;;DNF
25;37;Gunnar Vestholm;;M;;;SS5;Menn senior;0;;;;DNF
26;15;Dirk Scholtholt;;M;;;SS5;Menn senior;0;;;;DNF
27;17;Dimitri Georgiu;;M;;;SS5;Menn senior;0;;;;DNF
28;40;Håkon Trydal;;M;;;SS5;Menn senior;0;;;;DNF
29;39;Espen Devor;;M;;;SS5;Menn senior;0;;;;DNF
30;54;Elias Høyberg;;M;;;SS5;Menn senior;0;;;;DNF
31;24;Christoffer Groseth;;M;;;SS5;Menn senior;0;;;;DNF
32;20;Peder Heyerdahl Utne;;M;;;SS5;Menn senior;0;;;;DNF
33;29;Vegard Arnesen;;M;;;SS5;Menn senior;00:00;;;;DNF
34;21;Jan Erik Heltne;;M;;;SS5;Menn senior;0;;;;DNS
35;27;Tor Erik Drangsland;;M;;;SS5;Menn senior;0;;;;DNS
36;6;Daniel Philip Aaby Holt;;M;;;SS5;Menn senior;0;;;;DNS
37;7;Anders Iversen;;M;;;SS5;Menn senior;0;;;;DNS
38;19;Jørgen Beyer Strømquist;;M;;;SS5;Menn senior;0;;;;DNS
39;50;Jens Flakstad Vold;;M;;;SS5;Menn senior;0;;;;DNS
1;38;Jenny Lindell;;F;;;SS5;Kvinner;30:07;;;;OK
2;36;Silje Holmsen;;F;;;SS5;Kvinner;0;;;;DNS
