"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"33";"76";"Anders";"Klemmetsen";"M";"NOR";"Knolly";"SS3";"Menn";"5:00.50";"0:47.40";"2014-08-23T15:22:30.5670000";"OSLO";""
"34";"30";"Richard";"Toften";"M";"NOR";"Bergen MTB Klubb";"SS3";"Menn";"5:00.90";"0:47.80";"2014-08-23T14:59:30.9600000";"PARADIS";""
"35";"57";"Nikolai";"Sele";"M";"NOR";"SANDANE";"SS3";"Menn";"5:01.40";"0:48.30";"2014-08-23T15:13:01.4130000";"SANDANE";""
"36";"71";"Jonas";"Lundin";"M";"SWE";"OSLO";"SS3";"Menn";"5:05.70";"0:52.60";"2014-08-23T15:20:05.7330000";"OSLO";""
"37";"83";"Svenn";"Sørstrand";"M";"NOR";"NESTTUN";"SS3";"Menn";"5:05.80";"0:52.70";"2014-08-23T15:26:05.8870000";"NESTTUN";""
"38";"43";"Niklas";"Halvorsen";"M";"NOR";"KRISTIANSAND S";"SS3";"Menn";"5:06.50";"0:53.40";"2014-08-23T15:06:06.5480000";"Kristiansand S";""
"39";"36";"Stian";"Rånes";"M";"NOR";"Drammen CK / -";"SS3";"Menn";"5:08.30";"0:55.20";"2014-08-23T15:02:38.3110000";"Drammen";""
"40";"44";"Jørgen Dølvik";"Husbyn";"M";"NOR";"Nordfjord Grovsyklarlaug";"SS3";"Menn";"5:08.50";"0:55.40";"2014-08-23T15:06:38.5250000";"Sandane";""
"40";"95";"Sven";"Leininger";"M";"NOR";"Bergen MTB Klubb";"SS3";"Menn";"5:08.50";"0:55.40";"2014-08-23T15:32:08.5570000";"BERGEN";""
"42";"58";"Anders";"Søyland";"M";"NOR";"HJELLESTAD";"SS3";"Menn";"5:08.90";"0:55.80";"2014-08-23T15:13:38.9340000";"Hjellestad";""
