"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"13";"25";"Astrid";"Lemme";"F";"NOR";"";"Heat 3";"Women";"12:22.6";"3:24.3";"2016-06-29T14:46:11.2500000";"";""
"14";"18";"Marita";"Berg";"F";"NOR";"";"Heat 3";"Women";"12:41.5";"3:43.2";"2016-06-29T14:43:09.9870000";"";""
"15";"17";"Lucie";"Sediva";"F";"NOR";"";"Heat 3";"Women";"13:39.2";"4:40.9";"2016-06-29T14:42:55.3460000";"";""
"16";"26";"Nina Henrichson";"Kresse";"F";"NOR";"";"Heat 3";"Women";"0:00.0";"";"";"";""
"1";"36";"Lars";"Sandviken";"M";"NOR";"";"Heat 3";"Men";"7:12.4";"0:00.0";"2016-06-29T14:51:10.3190000";"";""
"2";"37";"Preben";"Nøkleby";"M";"NOR";"";"Heat 3";"Men";"7:19.6";"0:07.2";"2016-06-29T14:51:39.1140000";"";""
"3";"39";"Nikolai";"Sele";"M";"NOR";"";"Heat 3";"Men";"7:43.1";"0:30.7";"2016-06-29T14:52:47.4990000";"";""
"4";"38";"Tom Custers";"Nedrebø";"M";"NOR";"";"Heat 3";"Men";"7:51.2";"0:38.8";"2016-06-29T14:52:19.8200000";"";""
"5";"41";"Svein";"Øvsthus";"M";"NOR";"";"Heat 3";"Men";"8:08.3";"0:55.9";"2016-06-29T14:54:05.4280000";"";""
"6";"77";"Thomas";"Velde";"M";"NOR";"DRØBAK";"Heat 3";"Men";"8:10.6";"0:58.2";"2016-06-29T15:09:20.1200000";"Drøbak";""
"7";"44";"Thormod";"Liljedahl Ulvund";"M";"NOR";"";"Heat 3";"Men";"8:16.1";"1:03.7";"2016-06-29T14:55:19.5370000";"";""
"8";"46";"Mark";"Basso";"M";"NOR";"";"Heat 3";"Men";"8:16.5";"1:04.1";"2016-06-29T14:56:22.0900000";"";""
"9";"67";"Magne";"Holand";"M";"NOR";"";"Heat 3";"Men";"8:17.9";"1:05.5";"2016-06-29T15:05:25.1370000";"";""
"10";"43";"Oddbjørn Egge";"Ødegaard";"M";"NOR";"";"Heat 3";"Men";"8:18.1";"1:05.7";"2016-06-29T14:54:54.2770000";"";""
"11";"40";"Anders";"Veland";"M";"NOR";"";"Heat 3";"Men";"8:21.1";"1:08.7";"2016-06-29T14:53:19.1640000";"";""
"12";"62";"Borge";"Håmsø";"M";"NOR";"";"Heat 3";"Men";"8:22.8";"1:10.4";"2016-06-29T15:03:26.6830000";"";""
"13";"42";"Arild";"Gravdal";"M";"NOR";"";"Heat 3";"Men";"8:26.6";"1:14.2";"2016-06-29T14:54:21.1400000";"";""
"14";"61";"Frank";"Seidel";"M";"NOR";"HVAM";"Heat 3";"Men";"8:27.5";"1:15.1";"2016-06-29T15:02:49.1840000";"Hvam";""
"15";"45";"Magnus";"Tveit";"M";"NOR";"";"Heat 3";"Men";"8:37.7";"1:25.3";"2016-06-29T14:56:01.9330000";"";""
"16";"64";"Martin";"Høydahl";"M";"NOR";"BERGEN";"Heat 3";"Men";"8:40.1";"1:27.7";"2016-06-29T15:04:29.3910000";"Bergen";""
"17";"74";"Marius";"Heggholmen";"M";"NOR";"";"Heat 3";"Men";"8:43.7";"1:31.3";"2016-06-29T15:08:32.6420000";"";""
"18";"75";"Einar";"Frønum";"M";"NOR";"";"Heat 3";"Men";"8:43.8";"1:31.4";"2016-06-29T15:08:55.5960000";"";""
"19";"4";"Ole-Christian Soland Mellerud";"Mellerud";"M";"NOR";"";"Heat 3";"Boys 12-17";"8:47.3";"1:34.9";"2016-06-29T14:32:32.4160000";"";""
"20";"49";"Kristoffer";"Rakneberg";"M";"NOR";"";"Heat 3";"Men";"8:48.7";"1:36.3";"2016-06-29T14:57:58.5930000";"";""
"21";"3";"Marius";"Brakestad";"M";"NOR";"";"Heat 3";"Boys 12-17";"8:50.0";"1:37.6";"2016-06-29T14:31:53.9510000";"";""
"22";"86";"Sam";"Mccloy";"M";"USA";"";"Heat 3";"Men";"8:54.5";"1:42.1";"2016-06-29T15:13:56.9600000";"";""
"23";"82";"Even";"Jahnsen";"M";"NOR";"";"Heat 3";"Men";"8:55.8";"1:43.4";"2016-06-29T15:11:54.4380000";"";""
"24";"1";"Lars";"Andal";"M";"NOR";"";"Heat 3";"Boys 12-17";"8:58.3";"1:45.9";"2016-06-29T14:31:16.9270000";"";""
